generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
456,10000,50.74336633663366,70.0,1.0,1.0,1.0,40,75.3526
457,10000,49.99029702970297,71.0,1.0,1.0,1.0,38,75.5403
458,10000,48.08,68.0,1.0,1.0,1.0,43,75.8567
459,10000,49.04930693069307,70.0,1.0,1.0,1.0,48,75.8877
460,10000,50.89148514851485,73.0,1.0,1.0,1.0,56,76.1328
461,10000,50.80079207920792,72.0,1.0,1.0,1.0,58,76.2696
462,10000,52.437425742574256,72.0,1.0,1.0,1.0,50,76.6253
463,10000,51.163960396039606,72.0,1.0,1.0,1.0,46,76.5738
464,10000,49.73425742574258,72.0,1.0,1.0,1.0,59,76.641
465,10000,49.94435643564356,70.0,1.0,1.0,1.0,49,76.9286
466,10000,49.851485148514854,70.0,1.0,1.0,1.0,60,77.1291
